0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
-4.75480990570886,-7.273897223669058,85.40642491544801,1.79912368156926,42.21212193297986,Lexus,RX-Series,F Sport,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,200 - 299 HP,Blue,Beige,No,Sharjah,Owner,25900
-4.776350141850158,-8.380865843323159,9.223742687355132,3.4507375421609163,-16.0815803473449,Jeep,Wrangler Unlimited,Sahara,SUV,Petrol,Automatic Transmission,,200 - 299 HP,White,Black,Yes,Dubai,Dealer,225000
-4.863205481592676,-8.206749966955416,0.0007437505268001215,1.5543164287024478,-14.058221286594893,MINI,Coupe,Cooper,Hatchback,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Grey,Black,No,Dubai,Owner,99000
-4.725087840222683,-8.008506380895373,15.878961425233971,1.0167876740474975,1.0630067147530504,Toyota,Rav 4,Limited,SUV,Hybrid,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Blue,Beige,Does not apply,Dubai,Dealer,76000
-4.770945190366248,-8.040920409973788,0.00031893946840833563,0.9664955595565949,-13.764327684998506,Suzuki,Jimny,GLX AT,SUV,Petrol,Automatic Transmission,1000 - 1499 cc,100 - 199 HP,Blue,Black,Yes,Dubai,Owner,70000
-4.731331965428604,-7.995581605179593,0.8021628322747819,2.2011072242042498,6.244063971885591,Mercedes-Benz,GLK-Class,GLK 350 4matic,SUV,Petrol,Automatic Transmission,,300 - 399 HP,Burgundy,Beige,Does not apply,Dubai,Owner,67000
-4.721195762740332,-8.063754467057635,4.2161608674085995,1.8316857243962739,7.77234274843764,Porsche,Cayenne,GTS,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,400 - 499 HP,White,Black,No,Sharjah,Dealer,120000
-4.806865030288036,-8.027121110718673,6.05061176362297,1.4380762818014892,1.3716388087894391,Mercedes-Benz,CLA,Other,Sedan,Petrol,Automatic Transmission,Unknown,Unknown,Black,Unknown,No,Dubai,Dealer,112000
-4.809360230382824,-8.337770926395528,341.50995454818934,0.18293828389279135,-16.616653833827577,Mercedes-Benz,EQA,Other,SUV,Petrol,Automatic Transmission,Unknown,200 - 299 HP,Black,Black,Yes,Dubai,Dealership/Certified Pre-Owned,269900
-4.765802467859537,-7.867097078895184,17.511465161171063,3.336627430455006,10.312257991900669,Mercedes-Benz,E-Class,E 300,Sedan,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,White,White,Does not apply,Dubai,Dealer,69000
-4.750543523651112,-8.177117091662767,10.9647544681682,1.214868696487292,-5.975366148233944,Honda,HR-V,LX,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,300 - 399 HP,Blue,Black,Does not apply,Ras Al Khaimah,Owner,59000
-4.762969989401022,-7.906955590727124,0.0034651643812104813,1.260771228313897,-1.4412733181892112,Mercedes-Benz,E-Class Coupe,E 200 Coupe,Coupe,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,White,Tan,Yes,Dubai,Dealer,159000
-4.791236181794483,-8.287350262101945,4.696930256888341,3.6775151181675874,-8.110322653888776,Bentley,Bentayga,Other,SUV,Petrol,Automatic Transmission,,500 - 599 HP,Black,Tan,Yes,Dubai,Dealer,1080
-4.806352809070972,,124.64650962323377,1.2367916583743361,15.948809806248402,Hyundai,i10,GL,Hatchback,Petrol,Automatic Transmission,1000 - 1499 cc,0 - 99 HP,Silver,Black,No,Dubai,Owner,19900
-4.728720843546849,-8.027383240546847,,3.8432462036897816,48.63530861846236,Lexus,LS-Series,3/4 Ultra,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,400 - 499 HP,Other Color,Beige,No,Dubai,Owner,29000
-4.740981801670739,-7.645230771409984,11.829465796843689,6.180427053072428,18.623044102183815,Ford,F-Series Pickup,XLT,Pick Up Truck,Petrol,Automatic Transmission,,Unknown,Blue,Tan,No,Dubai,Owner,79000
